# Name      CPU                       NCores Memory disks size Network      Power H6OS
lbbat0089 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 1 9.1 1000baseT/Full 1400 904
lbbat0090 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 1 9.1 1000baseT/Full 1400 904
lbbat0091 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 1 9.1 1000baseT/Full 1400 904
lbbat0092 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 1 9.1 1000baseT/Full 1400 904
lbbat0093 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 1 9.1 1000baseT/Full 1400 904
lbbat0094 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0095 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0096 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0097 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0098 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0099 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0100 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0101 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0102 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0103 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0104 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0105 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0106 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0107 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0108 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0109 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0110 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0111 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0112 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0113 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0114 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0115 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0116 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0117 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0118 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0119 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
lbbat0120 Intel(R)_Xeon(R)_Gold_6326_2.90GHz 64 128 0 0 1000baseT/Full 1400 904
t2bat0001 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0002 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 4 36.4 1000baseT/Full 1100 530
t2bat0003 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 4 36.4 1000baseT/Full 1100 530
t2bat0004 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0005 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0006 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0007 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0008 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0009 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0011 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0012 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0013 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0014 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0015 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0016 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0017 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0018 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
t2bat0019 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 5 45.5 1000baseT/Full 1100 530
